, r, g, b
0, 0.14703, 0.10224, 0.03190
1, 0.52100, 0.33245, 0.10946
2, 0.14703, 0.19120, 0.10462
3, 0.10946, 0.13563, 0.03820
4, 0.23840, 0.23074, 0.11954
5, 0.23455, 0.43415, 0.17789
6, 0.54572, 0.29177, 0.04519
7, 0.09990, 0.12477, 0.09759
8, 0.47932, 0.17144, 0.05127
9, 0.10702, 0.06663, 0.03820
10, 0.32314, 0.43966, 0.08650
11, 0.59062, 0.40724, 0.06125
12, 0.04817, 0.07036, 0.06848
13, 0.12477, 0.24228, 0.07227
14, 0.38133, 0.11444, 0.03071
15, 0.70838, 0.61050, 0.09759
16, 0.45079, 0.18782, 0.08438
17, 0.08228, 0.20864, 0.13014
18, 0.89627, 0.92158, 0.33245
19, 0.57758, 0.61050, 0.21953
20, 0.36131, 0.37626, 0.13843
21, 0.17789, 0.19120, 0.07227
22, 0.08866, 0.09531, 0.03689
23, 0.03689, 0.03689, 0.01600
